GENES	SRR17478179	SRR17478168
TTLL8	0	0
TTLL9	0	0.223061625232825
TTN	12.3565562471691	56.278357077654
TTPA	0.618500667070207	0.0375502863712783
TTPAL	8.07757275355704	5.74573237733659
TTR	0	0
TTYH1	0.602701647942183	2.24710320652445
TTYH2	13.8277741011291	23.1818189587175
TTYH3	36.4934122362171	23.2547539228123
TUB	0.369862828183005	0.719763003492864
TUBA1A	51.6427090370194	511.726062267218
TUBA1B	62.103127664493	536.98332718215
TUBA1C	21.6342599993334	101.585008655357
TUBA3C	0	0
TUBA3D	0.600673021024401	2.01306226292158
TUBA3E	0	0.119332607033592
TUBA4A	38.03801180527	319.351680042499
TUBA8	1.66180094724873	27.5170440277316
TUBAL3	0	0
TUBB	20.0869960457745	66.0851176212778
TUBB1	145.795450583618	308.53071756505
TUBB2A	96.2523170887745	9.81095880161143
TUBB2B	0.178779599584037	0
TUBB3	8.68144784209363e-09	0
TUBB4A	2.03017388285571	1.73082764033932
TUBB4B	45.2061493243152	119.895689703116
TUBB6	20.9855424484556	14.8743762229022
TUBB8	0	0
TUBD1	5.40290919038962	16.1813457342882
TUBE1	2.59638112279678	11.1844474477886
TUBG1	7.07590686057614	17.068273998571
TUBG2	1.37600440652335	9.12696592216258
TUBGCP2	34.2832561761709	18.4977086654224
TUBGCP3	13.4218339447518	21.8567447311056
TUBGCP4	7.45974193738291	9.95506091369515
TUBGCP5	11.8332705294434	16.2741039815015
TUBGCP6	36.9307873236592	16.5337016035272
TUFM	39.6510878584145	127.479878575238
TUFT1	2.03792823302711	3.56330945530873
TULP1	0.447730741990154	0
TULP2	0	4.40625790096738
TULP3	2.07572073997325	6.44466790625628
TULP4	22.8989640235593	9.23992028124792
TUSC1	0.711564884389695	0
TUSC2	5.35425788976942	4.28895658654591
TUSC3	0.333111143369115	0.0749780602372968
TUSC5	0	0
TUT1	4.28038777744124	3.26930969771139
TVP23A	1.48076698399875	0.804270854297109
TVP23B	10.3664863074233	19.1210083342091
TVP23C	18.8433487694477	8.366274366925
TVP23C-CDRT4	0.671782349557234	0.354852112410904
TWF1	25.4489650007314	30.0388588021133
TWF2	36.6763641357772	20.4246255072867
TWIST1	1.3218651346604	0
TWIST2	0	0
TWISTNB	2.44656281206711	11.7905370265506
TWSG1	3.42523149222127	2.96780370881172
TXK	30.084176732823	97.5470181896359
TXLNA	6.97932367319049	6.76103508262954
TXLNB	1.54347163626602	0.803833987999283
TXLNG	2.81882568897641	6.09033677725645
TXN	21.8066880306674	80.6076468834762
TXN2	13.9845792871246	60.584029362675
TXNDC11	12.2962232850549	31.7876210250332
TXNDC12	15.6748864451526	36.8332965190673
TXNDC15	27.6291476662689	67.1636346858541
TXNDC16	9.58712530319302	7.03327604946713
TXNDC17	12.196230288818	36.9169401343693
TXNDC2	0	1.24613262326751
TXNDC5	7.66159234327778	23.9481991236802
TXNDC8	0	0
TXNDC9	7.94424238708102	31.4726092195654
TXNIP	273.88032883746	1596.31555752945
TXNL1	11.3445189296078	38.3430169003291
TXNL4A	17.9277005927793	14.8998582813052
TXNL4B	14.4264931400553	7.77353785076698
TXNRD1	29.0206021987294	66.5905027347529
TXNRD2	11.0637575349117	34.1853519186433
TXNRD3	0	1.13541550804899
TXNRD3NB	0	0
TYK2	59.0599905378934	100.098633486477
TYMP	133.057843796775	151.754407326301
TYMS	1.1266172658154	2.1029753166157
TYR	0	0
TYRO3	0.922205956864694	0
TYROBP	350.96655969086	9332.74137208515
TYRP1	0	0
TYSND1	5.01037356147304	0.782607984181013
TYW1	12.693058698438	26.7990610508932
TYW3	5.68662258494268	25.7773352483066
TYW5	3.6895342298665	4.887928907818
U2AF1	63.1933880970653	32.240005220776
U2AF1L4	26.7404912065533	20.0449078335093
U2AF2	78.992272053384	34.4307258930775
U2SURP	62.4785115058912	108.158997126136
UACA	2.11181941177984	5.16742092448434
UAP1	5.33991316800164	5.00598035694775
UAP1L1	4.25097441432742	1.28580567011447
UBA1	18.5560563285149	119.551748394329
UBA2	19.9146821594363	138.525013159488
UBA3	31.8675690547684	97.321561261767
UBA5	18.0273352063209	24.9416776534386
UBA52	1094.06161412519	1996.94094953593
UBA6	17.3370463483748	61.8223987904265
